"all_themes","organization_org_state","measure","amount","short_label"
"theme3","FL","Funding",3.329981,"Pregnancy"
"theme3","GA","Awards",19,"Pregnancy"
"theme3","GA","Funding",9.783358,"Pregnancy"
"theme3","HI","Awards",1,"Pregnancy"
"theme3","HI","Funding",0.1565,"Pregnancy"
"theme3","IA","Awards",4,"Pregnancy"
"theme3","IA","Funding",2.273497,"Pregnancy"
"theme3","ID","Awards",1,"Pregnancy"
"theme3","ID","Funding",0.239399,"Pregnancy"
"theme3","IL","Awards",23,"Pregnancy"
"theme3","IL","Funding",17.632869,"Pregnancy"
"theme3","IN","Awards",13,"Pregnancy"
"theme3","IN","Funding",10.325537,"Pregnancy"
"theme3","KS","Awards",11,"Pregnancy"
"theme3","KS","Funding",4.357435,"Pregnancy"
"theme3","KY","Awards",1,"Pregnancy"
"theme3","KY","Funding",0.603611,"Pregnancy"
"theme3","LA","Awards",5,"Pregnancy"
"theme3","LA","Funding",5.475969,"Pregnancy"
"theme3","MA","Awards",98,"Pregnancy"
"theme3","MA","Funding",63.381869,"Pregnancy"
"theme3","MB","Awards",1,"Pregnancy"
"theme3","MB","Funding",0.584243,"Pregnancy"
"theme3","MD","Awards",43,"Pregnancy"
"theme3","MD","Funding",21.571064,"Pregnancy"
"theme3","MI","Awards",31,"Pregnancy"
"theme3","MI","Funding",13.821908,"Pregnancy"
"theme3","MN","Awards",21,"Pregnancy"
"theme3","MN","Funding",9.431898,"Pregnancy"
"theme3","MO","Awards",29,"Pregnancy"
"theme3","MO","Funding",12.321882,"Pregnancy"
"theme3","MS","Awards",1,"Pregnancy"
"theme3","MS","Funding",0.07678,"Pregnancy"
"theme3","NC","Awards",38,"Pregnancy"
"theme3","NC","Funding",19.914926,"Pregnancy"
"theme3","NE","Awards",2,"Pregnancy"
"theme3","NE","Funding",0.98943,"Pregnancy"
"theme3","NH","Awards",2,"Pregnancy"
"theme3","NH","Funding",1.042042,"Pregnancy"
"theme3","NJ","Awards",16,"Pregnancy"
"theme3","NJ","Funding",13.049381,"Pregnancy"
"theme3","NV","Awards",3,"Pregnancy"
"theme3","NV","Funding",0.997096,"Pregnancy"
"theme3","NY","Awards",63,"Pregnancy"
"theme3","NY","Funding",31.928899,"Pregnancy"
"theme3","OH","Awards",16,"Pregnancy"
"theme3","OH","Funding",7.004615,"Pregnancy"
"theme3","OK","Awards",4,"Pregnancy"
"theme3","OK","Funding",3.551552,"Pregnancy"
"theme3","ON","Awards",1,"Pregnancy"
"theme3","ON","Funding",0.477421,"Pregnancy"
"theme3","OR","Awards",24,"Pregnancy"
"theme3","OR","Funding",15.88377,"Pregnancy"
"theme3","PA","Awards",56,"Pregnancy"
"theme3","PA","Funding",33.047429,"Pregnancy"
"theme3","RI","Awards",12,"Pregnancy"
"theme3","RI","Funding",5.448954,"Pregnancy"
"theme3","SC","Awards",8,"Pregnancy"
"theme3","SC","Funding",2.938117,"Pregnancy"
"theme3","SD","Awards",1,"Pregnancy"
"theme3","SD","Funding",2.078909,"Pregnancy"
"theme3","TN","Awards",6,"Pregnancy"
"theme3","TN","Funding",1.952019,"Pregnancy"
"theme3","TX","Awards",52,"Pregnancy"
"theme3","TX","Funding",19.621171,"Pregnancy"
"theme3","UT","Awards",11,"Pregnancy"
"theme3","UT","Funding",6.67689,"Pregnancy"
"theme3","VA","Awards",7,"Pregnancy"
"theme3","VA","Funding",3.8278,"Pregnancy"
"theme3","VT","Awards",3,"Pregnancy"
"theme3","VT","Funding",0.841559,"Pregnancy"
"theme3","WA","Awards",35,"Pregnancy"
"theme3","WA","Funding",18.534019,"Pregnancy"
"theme3","WI","Awards",14,"Pregnancy"
"theme3","WI","Funding",6.621066,"Pregnancy"
"theme3","WV","Awards",1,"Pregnancy"
"theme3","WV","Funding",0.456,"Pregnancy"
"theme3","ZZ","Awards",4,"Pregnancy"
"theme3","ZZ","Funding",1.904397,"Pregnancy"
"theme4","AL","Awards",16,"Pediatrics"
"theme4","AL","Funding",7.635748,"Pediatrics"
"theme4","AR","Awards",3,"Pediatrics"
"theme4","AR","Funding",0.763587,"Pediatrics"
"theme4","AZ","Awards",17,"Pediatrics"
"theme4","AZ","Funding",7.817021,"Pediatrics"
"theme4","CA","Awards",203,"Pediatrics"
"theme4","CA","Funding",89.492024,"Pediatrics"
"theme4","CO","Awards",43,"Pediatrics"
"theme4","CO","Funding",23.409442,"Pediatrics"
"theme4","CT","Awards",34,"Pediatrics"
"theme4","CT","Funding",11.48227,"Pediatrics"
"theme4","DC","Awards",21,"Pediatrics"
"theme4","DC","Funding",10.742051,"Pediatrics"
"theme4","DE","Awards",1,"Pediatrics"
"theme4","DE","Funding",0.477263,"Pediatrics"
"theme4","FL","Awards",22,"Pediatrics"
"theme4","FL","Funding",21.722607,"Pediatrics"
"theme4","GA","Awards",33,"Pediatrics"
"theme4","GA","Funding",14.690078,"Pediatrics"
"theme4","HI","Awards",1,"Pediatrics"
"theme4","HI","Funding",0.623728,"Pediatrics"
"theme4","IA","Awards",13,"Pediatrics"
"theme4","IA","Funding",6.537835,"Pediatrics"
"theme4","ID","Awards",2,"Pediatrics"
"theme4","ID","Funding",0.81242,"Pediatrics"
"theme4","IL","Awards",54,"Pediatrics"
"theme4","IL","Funding",23.881009,"Pediatrics"
"theme4","IN","Awards",27,"Pediatrics"
"theme4","IN","Funding",14.794347,"Pediatrics"
"theme4","KS","Awards",11,"Pediatrics"
"theme4","KS","Funding",5.334114,"Pediatrics"
"theme4","KY","Awards",4,"Pediatrics"
"theme4","KY","Funding",1.55025,"Pediatrics"
"theme4","LA","Awards",9,"Pediatrics"
"theme4","LA","Funding",3.050317,"Pediatrics"
"theme4","MA","Awards",147,"Pediatrics"
"theme4","MA","Funding",93.729654,"Pediatrics"
"theme4","MB","Awards",1,"Pediatrics"
"theme4","MB","Funding",0.584243,"Pediatrics"
"theme4","MD","Awards",79,"Pediatrics"
"theme4","MD","Funding",45.691771,"Pediatrics"
"theme4","ME","Awards",2,"Pediatrics"
"theme4","ME","Funding",0.751739,"Pediatrics"
"theme4","MI","Awards",70,"Pediatrics"
"theme4","MI","Funding",32.502649,"Pediatrics"
"theme4","MN","Awards",34,"Pediatrics"
"theme4","MN","Funding",19.245267,"Pediatrics"
"theme4","MO","Awards",40,"Pediatrics"
"theme4","MO","Funding",18.614629,"Pediatrics"
"theme4","MS","Awards",1,"Pediatrics"
"theme4","MS","Funding",0.296955,"Pediatrics"
"theme4","MT","Awards",1,"Pediatrics"
"theme4","MT","Funding",0.727781,"Pediatrics"
"theme4","NC","Awards",102,"Pediatrics"
"theme4","NC","Funding",46.951895,"Pediatrics"
"theme4","ND","Awards",1,"Pediatrics"
"theme4","ND","Funding",0.434929,"Pediatrics"
"theme4","NE","Awards",7,"Pediatrics"
